Elaborato,ID,Timestamp della richiesta,Metodo,URL,Codice,Ragione,RTT,Dimensione della intestazione della risposta,Dimensione del corpo della risposta,Massima allerta,Nota,Etichette
Fuori scopo,15,Tue Dec 19 17:20:10 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,16,Tue Dec 19 17:20:10 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,17,Tue Dec 19 17:20:11 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,18,Tue Dec 19 17:20:12 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Elaborato,19,Tue Dec 19 17:20:13 CET 2023,GET,https://192.168.64.1:4433/,200,,61,563,245912,Medio,false,"Upload, SetCookie, Comment"
Fuori scopo,20,Tue Dec 19 17:20:14 CET 2023,GET,"https://fonts.googleapis.com/css?family=Merriweather+Sans:400,700",403,Forbidden,0,130,63,,false,
Fuori scopo,21,Tue Dec 19 17:20:14 CET 2023,GET,"https://fonts.googleapis.com/css?family=Merriweather:400,300,300italic,400italic,700,700italic",403,Forbidden,0,130,63,,false,
Elaborato,22,Tue Dec 19 17:20:14 CET 2023,GET,https://cdnjs.cloudflare.com/ajax/libs/SimpleLightbox/2.1.0/simpleLightbox.min.css,200,OK,152,941,5307,Medio,false,
Elaborato,28,Tue Dec 19 17:20:14 CET 2023,GET,https://192.168.64.1:4433/favicon.ico,302,,70,460,0,,false,
Elaborato,29,Tue Dec 19 17:20:14 CET 2023,GET,https://192.168.64.1:4433/Icone/bg-masthead.jpg,302,,41,567,0,Basso,false,SetCookie
Elaborato,31,Tue Dec 19 17:20:14 CET 2023,GET,https://192.168.64.1:4433/oauth2/authorization/keycloak,302,,13,721,0,,false,
Elaborato,32,Tue Dec 19 17:20:14 CET 2023,GET,https://192.168.64.1:4433/login,200,,36,458,891,Medio,false,
Fuori scopo,33,Tue Dec 19 17:20:15 CET 2023,GET,https://localhost:8443/auth/realms/SSDProject/protocol/openid-connect/auth?response_type=code&client_id=editor&scope=openid&state=kY1jZ-ymwVJTBgRUH7BA6g290Q3MceyPS7JsLfj3QA4%3D&redirect_uri=https://192.168.64.1:4433/login/oauth2/code/keycloak&nonce=eQK5lcp1_s_eReR3R7I1B4MrivCYQFx9BWIFMAMcFQw,403,Forbidden,0,130,63,,false,
Elaborato,34,Tue Dec 19 17:20:16 CET 2023,GET,https://192.168.64.1:4433/,200,,55,486,245912,Medio,false,"Upload, Comment"
Fuori scopo,35,Tue Dec 19 17:20:16 CET 2023,GET,"https://fonts.googleapis.com/css?family=Merriweather+Sans:400,700",403,Forbidden,0,130,63,,false,
Fuori scopo,36,Tue Dec 19 17:20:16 CET 2023,GET,"https://fonts.googleapis.com/css?family=Merriweather:400,300,300italic,400italic,700,700italic",403,Forbidden,0,130,63,,false,
Elaborato,37,Tue Dec 19 17:20:16 CET 2023,GET,https://192.168.64.1:4433/Icone/bg-masthead.jpg,302,,110,484,0,,false,
